Date,High,Low,Open,Close,Volume,Adj Close
2005-07-19,6849.97119140625,5791.33935546875,5960.36474609375,6849.97119140625,560922.0,6594.998046875
2005-07-20,6841.0751953125,5826.923828125,6841.0751953125,5826.923828125,475041.0,5610.03076171875
2005-07-21,5853.61181640625,5097.4462890625,5737.962890625,5106.34228515625,205259.0,4916.271484375
2005-07-22,5204.19921875,4919.52490234375,5204.19921875,4964.00537109375,78574.0,4779.232421875
2005-07-25,5293.15966796875,4892.8369140625,4892.8369140625,5026.27783203125,68569.0,4839.18701171875
2005-07-26,5230.88720703125,4946.212890625,5186.40673828125,4946.212890625,44738.0,4762.1015625
2005-07-27,5141.9267578125,4919.52490234375,4946.212890625,5026.27783203125,50134.0,4839.18701171875
2005-07-28,5097.4462890625,4848.3564453125,5052.9658203125,4848.3564453125,46762.0,4667.88818359375
2005-07-29,4848.3564453125,4670.43505859375,4848.3564453125,4732.70751953125,65084.0,4556.5439453125
2005-08-01,4830.564453125,4697.123046875,4794.97998046875,4786.083984375,31811.0,4607.93359375
2005-08-02,4759.3955078125,4634.8505859375,4759.3955078125,4714.91552734375,46987.0,4539.4140625
2005-08-03,4732.70751953125,4474.7216796875,4643.7470703125,4474.7216796875,35521.0,4308.1611328125
2005-08-04,4652.64306640625,4492.513671875,4492.513671875,4581.474609375,20346.0,4410.94091796875
2005-08-05,4492.513671875,4385.7607421875,4465.82568359375,4448.033203125,20121.0,4282.46533203125
2005-08-08,4536.994140625,4314.59228515625,4314.59228515625,4439.13720703125,10678.0,4273.90087890625
2005-08-09,4625.95458984375,4323.48828125,4323.48828125,4381.31298828125,28439.0,4218.22900390625
2005-08-10,4465.82568359375,4314.59228515625,4319.04052734375,4430.2412109375,33160.0,4265.3359375
2005-08-11,4492.513671875,4385.7607421875,4492.513671875,4448.033203125,16748.0,4282.46533203125
2005-08-12,4492.513671875,4047.71044921875,4456.9296875,4323.48828125,23268.0,4162.55712890625
2005-08-15,4323.48828125,4323.48828125,4323.48828125,4323.48828125,0.0,4162.55712890625
2005-08-16,4301.248046875,4181.1513671875,4296.80029296875,4270.11181640625,15400.0,4111.16748046875
2005-08-17,4332.38427734375,4078.8466796875,4172.25537109375,4078.8466796875,15962.0,3927.021484375
2005-08-18,4109.98291015625,3949.853759765625,4074.398681640625,3954.3017578125,21020.0,3807.1123046875
2005-08-19,3958.749755859375,3647.387451171875,3851.996826171875,3736.34814453125,73403.0,3597.271728515625
2005-08-22,3883.133056640625,3754.14013671875,3780.828369140625,3825.30859375,22257.0,3682.9208984375
